region_name,region_name_rus,map_region_name,scrap_per,nalog_per,taxi_per,scrap_without_mozen_per,auto_without_mozen_per,nalog_without_mozen_per,taxi_without_mozen_per,option_region_name,type,type_eng,lat,lon
МОСКВА Г,Москва,Moscow City,0.45,30.00,2.20,13.13,19.88,29.46,30.19,,Gorod,City,55.753215,37.622504
МОСКОВСКАЯ ОБЛ,Московская область,Moskva,0.66,31.00,5.10,4.51,5.27,6.77,6.90,Mosca|Moscou|Moscow|Moskau|Moskova|Moskovskaya,Oblast,Region,55.431177,37.544737
МУРМАНСКАЯ ОБЛ,Мурманская область,Murmansk,0.00,33.00,16.70,0.44,0.23,0.30,0.28,Murmanskaya Oblast,Oblast,Region,68.970682,33.074981
НЕНЕЦКИЙ АО,Ненецкий автономный округ,Nenets,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Nenetskiy A.Okr.|Nenetskiy Aok,Avtonomnyy Okrug,Autonomous Province,67.63805,53.006926
НИЖЕГОРОДСКАЯ ОБЛ,Нижегородская область,Nizhegorod,0.42,24.00,10.10,2.36,3.54,1.91,1.80,Gor'kiy|Gor'kovskaya|Gorky|Nizhegorodskaya|Nizhniy-Novgorod|Nizhegorodskaya Oblast,Oblast,Region,54.901233,99.026387
НОВГОРОДСКАЯ ОБЛ,Новгородская область,Novgorod,0.00,0.00,8.50,0.46,0.30,0.19,0.24,Novgorodskaya Oblast,Oblast,Region,55.603969,31.197214
НОВОСИБИРСКАЯ ОБЛ,Новосибирская область,Novosibirsk,0.57,17.00,8.60,1.74,2.8,2.98,2.85,Novosibirskaya Oblast,Oblast,Region,55.030199,82.92043
ОМСКАЯ ОБЛ,Омская область,Omsk,0.00,14.00,14.20,0.62,0.86,0.94,0.90,Omskaya Oblast,Oblast,Region,54.989342,73.368212
ОРЕНБУРГСКАЯ ОБЛ,Оренбургская область,Orenburg,4.76,14.00,20.40,0.60,0.19,0.14,0.15,Orlovskaya|Or'ol|Oryol|Orlovskaya Oblast,Oblast,Region,51.768199,55.096955
ОРЛОВСКАЯ ОБЛ,Орловская область,Orel,4.38,25.00,16.70,1.31,0.63,0.54,0.50,Chkalov|Orenburgskaya|Orenburgskaya Oblast,Oblast,Region,52.970371,36.063837
ПЕНЗЕНСКАЯ ОБЛ,Пензенская область,Penza,1.90,17.00,15.30,1.3,0.42,0.45,0.40,Penzenskaya Oblast,Oblast,Region,53.195063,45.018316
ПЕРМСКИЙ КРАЙ,Пермский край,Perm',1.58,23.00,11.60,3.11,1.72,1.26,1.18,Molotov|Permskaya Oblast,Kray,Territory,58.010374,56.229398
ПРИМОРСКИЙ КРАЙ,Приморский край,Primor'ye,2.8,27.00,4.40,0.94,6.20,1.8,1.14,Küsten-Gebiet|Maritime Territory|Primorsk|Primorskiy Kray,Kray,Territory,43.115536,131.885485
ПСКОВСКАЯ ОБЛ,Псковская область,Pskov,0.00,30.00,13.30,0.27,0.28,0.21,0.21,Pskovskaya Oblast,Oblast,Region,57.81925,28.332065
Республика Крым,Республика Крым,Crimea,0.00,25.00,2.20,0.00,0.00,0.61,0.62,Crimée|Criméia|Krim|Krymskaya Respublika|Respublika Krym,Autonomous Republic,Autonomous Republic,45.356219,36.467378
РОСТОВСКАЯ ОБЛ,Ростовская область,Rostov,1.31,31.00,10.90,3.1,1.66,1.31,1.30,Province of the Don Cossacks|Provinz des Donischen Heeres|Voyska Donskovo|Rostovskaya Oblast,Oblast,Region,47.222078,39.720349
РЯЗАНСКАЯ ОБЛ,Рязанская область,Ryazan',1.98,14.00,6.20,0.99,0.56,0.39,0.38,Ryazanskaya Oblast|Ryazanskaya Oblast,Oblast,Region,54.629216,39.736375
САМАРСКАЯ ОБЛ,Самарская область,Samara,2.50,12.00,7.40,1.95,3.27,3.2,2.97,Kuybyshev|Kuybyshevskaya|Samarskaya Oblast,Oblast,Region,53.195538,50.101783
САНКТ-ПЕТЕРБУРГ Г,Санкт-Петербург,Saint Petersburg City,0.79,24.00,6.90,7.51,6.6,7.35,7.37,Sankt-Peterburg gorsovet,Gorsovet,City,59.939095,30.315868
САРАТОВСКАЯ ОБЛ,Саратовская область,Saratov,1.57,27.00,14.50,1.88,1.2,0.79,0.75,Saratovskaya Oblast,Oblast,Region,51.533103,46.034158
САХА /ЯКУТИЯ/ РЕСП,Саха (Якутия) республика,Sakha,3.13,69.00,15.20,0.31,0.23,0.35,0.31,Republic of Sakha|Yakutia-Sakha|Yakutsk|Yakut A.S.S.R.|Yakutskaya A.S.S.R.|Respublika Sakha,Respublika,Republic,62.028103,129.732663
САХАЛИНСКАЯ ОБЛ,Сахалинская область,Sakhalin,28.57,100.00,0.00,0.05,0.27,0.15,0.17,Sakhalinskaya Oblast,Oblast,Region,46.959155,142.738023
СВЕРДЛОВСКАЯ ОБЛ,Свердловская область,Sverdlovsk,1.42,20.00,5.50,6.92,2.88,3.86,3.89,Yekaterinburg|Sverdlovskaya Oblast,Oblast,Region,56.838011,60.597465
Севастополь Г,Севастополь,Sevastopol',0.00,100.00,3.60,0.00,0.00,0.15,0.15,Sebastopol,Autonomous Republic,Autonomous Republic,44.5888,33.5224
СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ РЕСП,Северная Осетия-Алания республика,North Ossetia,0.00,32.00,58.90,0.15,0.08,0.12,0.07,Kuzey Osetya|Respublika Severnaya Osetiya|Severnaya Osetiya-Alaniya|North Ossetian A.S.S.R.|Republic of North Osetia-Alania,Respublika,Republic,43.02115,44.68196
СМОЛЕНСКАЯ ОБЛ,Смоленская область,Smolensk,1.87,17.00,6.00,1.5,0.62,0.68,0.67,Smolenskaya Oblast,Oblast,Region,54.782635,32.045251
СТАВРОПОЛЬСКИЙ КРАЙ,Ставропольский край,Stavropol',0.68,32.00,20.90,1.47,1.13,0.66,0.61,Stavropol'skiy Kray|Stavropolskiy Kray,Kray,Territory,45.044521,41.969083
ТАМБОВСКАЯ ОБЛ,Тамбовская область,Tambov,1.39,0.00,5.00,0.71,0.32,0.21,0.21,Tambovskaya Oblast,Oblast,Region,52.721219,41.452274
ТАТАРСТАН РЕСП,Татарстан республика,Tatarstan,2.87,21.00,4.10,1.69,4.89,3.37,3.43,Kazan|Kazanskaya G.|Tatar A.S.S.R.|Tatarskaya A.S.S.R.|Republic of Tatarstan|Respublika Tatars,Respublika,Republic,55.796289,49.108795
ТВЕРСКАЯ ОБЛ,Тверская область,Tver',1.39,50.00,4.60,0.71,0.61,0.46,0.48,Kalinin|Kalininskaya|Tverskaya Oblast,Oblast,Region,56.859611,35.911896
ТОМСКАЯ ОБЛ,Томская область,Tomsk,1.82,29.00,4.90,0.54,0.37,0.61,0.62,Tomskaya Oblast,Oblast,Region,56.48464,84.947649
ТУЛЬСКАЯ ОБЛ,Тульская область,Tula,2.27,36.00,8.40,0.86,0.46,0.48,0.49,Tul'skaya|Tulskaya Oblast,Oblast,Region,54.193122,37.617348
ТЫВА РЕСП,Тыва республика,Tuva,0.00,0.00,0.00,0.03,0.05,0.06,0.06,Respublika Tyva|Republic of Tuva|Tyva|Tuvinskaya A.S.S.R.|Republic of Tyva,Respublika,Republic,51.719086,94.437757
ТЮМЕНСКАЯ ОБЛ,Тюменская область,Tyumen',2.61,0.00,7.20,1.12,1.46,1.00,0.97,Tobol'sk|Tobol'skaya G.|Tyumenskaya Oblast,Oblast,Region,57.153033,65.534328
УДМУРТСКАЯ РЕСП,Удмуртская Республика,Udmurt,3.80,21.00,7.60,0.76,1.39,0.77,0.77,Udmurtiya|Udmurt Republic|Udmurtskaya A.S.S.R.|Udmurtskaya Respublika,Respublika,Republic,56.852593,53.204843
УЛЬЯНОВСКАЯ ОБЛ,Ульяновская область,Ul'yanovsk,0.00,29.00,12.80,0.87,0.64,0.57,0.55,Simbirsk|Simbirskaya G.|Ul'yanovskaya Oblast,Oblast,Region,54.314192,48.403123
ХАБАРОВСКИЙ КРАЙ,Хабаровский край,Khabarovsk,0.00,50.00,5.40,0.89,1.18,0.86,0.89,Khabarovskiy Kray,Kray,Territory,48.480223,135.071917
ХАКАСИЯ РЕСП,Хакасия республика,Khakass,0.00,20.00,10.10,0.28,0.25,0.20,0.19,Khakassiya|Republic of Khakasia|Khakasskaya A.Obl.|Respublika Khakasiya|Republic of Khakasia,Respublika,Republic,53.721152,91.442387
ХАНТЫ-МАНСИЙСКИЙ - ЮГРА АО,Ханты-Мансийский АО,Khanty-Mansiy,0.00,42.00,10.10,0.91,0.73,0.63,0.63,Khanty-Mansiysk|Khanty-Mansiyskiy A.Okr.|Khanty-Mansiyskiy A.Okr.-Yugra|Khanty-Mansiyskiy Aok,Avtonomnyy Okrug,Autonomous Province,61.00318,69.018902
ЧЕЛЯБИНСКАЯ ОБЛ,Челябинская область,Chelyabinsk,0.23,23.00,7.50,4.34,2.75,2.30,2.30,Chelyabinskaya Oblast,Oblast,Region,55.159897,61.402554
ЧЕЧЕНСКАЯ РЕСП,Чеченская республика,Chechnya,7.14,0.00,15.90,0.13,0.24,0.24,0.21,Cecenia|Chechenia|Chechênia|Tchetchnia|Chechen-Ingush A.S.S.R.|Checheno-Ingushetia|Checheno-Ingushetia,Respublika,Republic,43.317776,45.694909
ЧУВАШСКАЯ - ЧУВАШИЯ РЕСП,Чувашская Республика,Chuvash,0.00,27.00,10.50,0.52,0.40,0.47,0.46,Chuvashskaya A.S.S.R.|Chuvashskaya Respublika|Chuvashiya|Chuvash Republic,Respublika,Republic,56.146277,47.251079
ЧУКОТСКИЙ АО,Чукотский АО,Chukot,0.00,0.00,0.00,0.08,0.00,0.02,0.02,Chukotka|Chukotskiy Aok,Avtonomnyy Okrug,Autonomous Province,64.733115,177.508924
ЯМАЛО-НЕНЕЦКИЙ АО,Ямало-Ненецкий автономный округ,Yamal-Nenets,0.00,15.00,17.20,0.54,0.10,0.23,0.20,Yamalo-Nenetskiy A. Okrug,Avtonomnyy Okrug,Autonomous Province,66.529844,66.614399
ЯРОСЛАВСКАЯ ОБЛ,Ярославская область,Yaroslavl',2.25,22.00,2.80,0.87,0.89,0.85,0.88,Yaroslavskaya,Oblast,Region,57.626569,39.893787
